post number,caption,url,,number of hashtags,types of patterns,likes,taxonomy
19,"Made a toile of the top portion of a #hinterlanddress so I suppose this is a #hinterlanddresshack. Pattern is from #sewliberatedpatterns

Just had enough fabric to add a baby pepblum which was perfect because now it's actually wearable for me. 
First placket which went pretty good, I feel I learned a lot just from this one!
Fabric is a baby soft bamboo picked up for toiles from #walmartfabric 

Next up is my cord #hinterlanddress 💕

#ilovetosew #memade #selfishsewing",instagram.com/p/CL95WN3FRsV,,8,"2, 3",10,
20,"My #hinterlanddresshack is finished! I wore it yesterday. I'm going to wear it today. I'll probably wear it tomorrow. 
I think I need to make another 6 so I have one of every day of the week, because it is the best garment I have ever made and certainly the best garment I have ever worn.
Mods: no placket. Lengthened the bodice by 1.5 inches. Skirt is slightly wider (therefore fuller) and longer to use the remaining fabric. Left out the darts. Sized up to 16 (I'm a standard Australian 12) for a roomy fit.
Did I mention I love this dress completely?
#imakemyclothes #handmade #sewsewsew #slowfashion #sewistsofinstagram #usewhatyouhave #beginnerseamstress",instagram.com/p/CLcpaoQpbKh,,8,"3, 5, 6",11,
21,"Our navy and white gingham cotton/linen blend is a perfect medium weight fabric for all kinds of projects! This is deadstock from our trusted supplier and is not reorderable. We used it for a #hinterlanddress and the scraps for the inside of the #sidehandlegussettote but you can use it for napkins or a tablecloth, skirts or culottes.. it's a lovely fabric that gets softer with wear and keeps it's gorgeous colors. #sewliberated #kzstevens #memadewardrobe #hinterlanddresshack #sewist #sewcialists #sewcialisolation #memadeeveryday #deadstockfabrics",instagram.com/p/CLaIMIVFNZa,,11,1,17,
22,And now a break in my regular programming... Unpicking a clumsy neck facing on my modified #hinterlanddress while Little Red reads in the reading nook she created this afternoon. Lazy lockdown Sundays are pretty much heaven around here. #hinterlanddresshack #unpicking #maker #imakemyclothes #lockdownlife,instagram.com/p/CLQXKnPJp9t,,6,3,2,
23,"Today’s #WIP is a muslin (sample) of my #hinterlanddress hack! 
I just finished my first @sewliberated Hinterland dress yesterday, and love the finish, but, I wanted to alter a few things before I cut into my gorgeous plaid flannel for the second go-around:
-change the neckline to a v-neck
-expand the sleeves for a looser fit ( guess I got big biceps 😆) 
And
-grade between two sizes for a better shoulder and back finish!

I think its going well... I’m sewing my muslin in vintage cotton sheeting, something I always have around from the thrift store and perfect for testing patterns with! 

#fiberuarychallenge
#fiberuary
#fiberuarychallenge2021
#memade
#makeyourown
#sewyourown
#mindfulwardrobe
#hinterlandhackathon 
#hinterlanddresshack 
#sewist
#vintagelinens",instagram.com/p/CLIFyNYh2gX,,13,"3, 5, 7",71,
24,Awkwardly taking a pic of my weekend project 😆 I added this most delightful embroidery pattern  by @kasiajacquotembroidery on my #hinterlanddress I made this frock with the intention to embroider the front and finally found the perfect pattern ☺️ i had so much fun and added a few touches of my own to it. #kasiajacquotembroidery #sewliberated @sewliberated #handmadedress #makeyourownclothes #hinterlanddresshack #embroideryonclothes,instagram.com/p/CLDv0Dinuzr,,7,1,187,
25,".
Last night I dreamt we were truck drivers.

We met at one of those larger-than-life truck stops while rummaging through a box of discounted books crammed between a display of tourist trinkets and a shelf of potato chips. 

We kept correspondence via CB Radio for a few months before getting married in a warehouse parking lot surrounded by friends and family who flew brightly colored kites to congratulate us as we drove away. 

Dreams are weird and wonderful

and clearly, we’ve been on the road too long. After almost a month of circumnavigating the country to visit family, we returned home last night, eyes blurry with road dust, hearts full of snapshot moments and memories.

This is a favorite snapshot, taken in my folk’s backyard last week. It’s imperfect and in so being, captures something true that I can’t quite put my finger on...

It’s as if this photograph is telling a small, intricate story about my life that I can’t hear because I’m too caught up in the meta-narrative to perceive it. 

In the same way that I can be so fixated on watching the sunset that I fail to notice how the sun’s kind light visits the faces of those who watch with me. The golden twilight gathers generously in the corners of their eyes, dissolves on their smiles like honey in tea. 

Humans are so lovely in their details. I’m learning that. Life is too, I think. 

Every day is a feast of morsels inviting us to lick our plates clean as the full moon that rises after the kind sun sets. 

Remember the kites in the warehouse parking lot? 
It’s the details that make the story, that find the beauty, that celebrate life. 

Look for kites, friends. Fly them so that others can notice and celebrate too. 

🧵Side note—my shorts and his pants are made of the same fabric. We’re one step away from his and her matching jogging suits I think. 😂

And my shirt is a hack of the #hinterlanddress The modified French seam on the bodice meant I was too tired to hem the shirt. 😬",instagram.com/p/CLAuPqzlfkX,,16,"3, 4",222,
26,"Portrait of a cold person 🙈 // taken shortly before adding another layer! // I have been wearing my #waitingforrainshawl daily since I bound the edge off the other day. But after aggressive blocking, the bottom edge still doesn't lie flat. I am unsure whether this matters or not? I have a life line in the last row and haven't woven the ends in either so I can go back if I need to do a stretcher bind off. But not sure if it will help or if it matters ? // shawl: waiting for rain, knit in Gotland BFL in dark peony by @woollymammothfibres worn with #felixpullover in Willow and Lark Ramble and Isager alpaca. Cropped length. Skirt with straps is the bottom half of a #hinterlanddress with an elastic waist and straps added in grey linen. Pin on strap is by @maggiemagoodesigns // Mustard sweater is a cropped pattern called Le Velo knit in #debbieblissdonegaltweed worn with my #gypsumskirt in #dashwoodstudio rayon // #sewliberated #sewliberatedpatterns #hinterlanddresshack #woollymammothfibreco #woollymammothfibres #knittersofinstagram #learningtoknit",instagram.com/p/CKlbg9oFGdS,,13,8,224,
27,"Because I love that outfit so much, I asked Hermine again if she could take a few pictures of me. We also went to the beach at the right time. The kids played and roamed free and I got a pocket full of stones. Now, the next storm is rolling in. #hinterlanddress #hinterlanddresshack @sewliberated",instagram.com/p/CKh19_yB2aG,,2,1,38,
28,"If you didn’t have a check vest in the 90’s, we’re you even there? 🤔

My 5th garment made using the #hinterlanddress pattern from @sewliberated .  It’s definitely a workhorse of a pattern for me!  I used the bodice in my usual size, and added about 13cm length from the finished bodice line, and did the teeniest little hem because I forgot to add extra hem allowance 🤨

Next time I’ll add more width around the hips as this one does feel a little snug.  I really was winging it and I should’ve done some measuring.  Oh well, still cute, and kinda “Picnic-Mom” vibes (is that a thing?)

Fabric is cotton from @lincraft and buttons are vintage rescued from a closing down store by my lovely friend @pouonokrafts
Label from @kylieandthemachine

#nzsews #memade #memadewardrobe #hinterlanddresshack #hinterlandhackathon #sewnz",instagram.com/p/CKaxH0EFPNb,,7,6,50,
29,"Zwei Leinenkleider, die vielleicht ein paar Frühlingsträume wecken 🌸

#hinterlanddress #hinterlanddresshack #leinenkleid #linendress #nachhaltigemode #slowfashion #naturstoffe #frühlingskleid #gartenkleid #isewmyownclothes",instagram.com/p/CKV_OyXs47K,,10,1,27,
30,"we have snow today. and sunshine. but i think i'm ready for spring.. 
.
.
.
.
.
.
.
.
.

.

.
.
.
.
altered thrifted linen pants into a shirt (see previous post) + old fave makes : #hinterlanddresshack #foragervest #allwellcardigancoat also with newly added ruffles ..
.
.
.
.
 .
#handmade  #memade  #makersofinstagram #handmadeclothing #slowfashion #sewistsofinstagram #sewing #handmadefashion #memadeeveryday #sewallthethings  #ootd #creativepreneur #calledtobecreative #diyclothes #handmadewardrobe #isewmyownclothes #memadeootd #diyootd #isew #selfcaresewing #sewover40",instagram.com/p/CKSI0uiFNCm,,24,1,42,
31,"on a wing and a prayer ..
.
.
.

.
.
.
.
altered thrifted linen pants into a shirt, literally winged it.. ✨✨✨ + old fave makes : #hinterlanddresshack #foragervest #allwellcardigancoat also with newly added ruffles ..
.
.
.
.
 .
#handmade  #memade  #makersofinstagram #handmadeclothing #slowfashion #sewistsofinstagram #sewing #handmadefashion #memadeeveryday #sewallthethings  #ootd #creativepreneur #calledtobecreative #diyclothes #handmadewardrobe #isewmyownclothes #memadeootd #diyootd #isew #selfcaresewing #sewover40",instagram.com/p/CKSGw5SF70k,,24,1,37,
32,"A few special details and #sewprettyinside shots. I love taking my time and thinking of beautiful ways to finish and construct each item I make. 🪡 This #hinterlanddresshack has French seams, bias-bound seams, my best plaid matching yet, self bias tape, and a sparkly, antique jet button. 🪡I really love @thefoldline very helpful tutorial on French seamed pockets. 🪡 what are your favorite ways to finish a garment? 🧵Fabric is an Italian deadstock from @athriftynotion, it’s beautiful mid weight 50%wool 50% linen",instagram.com/p/CKCBfkjlS3-,,2,7,118,
33,"I am finally posting my #hinterlanddresshack! It’s been months in the making because I kept picking it up and putting it down, uncertain of where to go. In the end, I drafted a simple curved hem and cropped the sleeves and it’s perfect for me. I sized down when I made it as I’m postpartum with twins an always changing. I like a closer fit and this is great for now. Fabric is #robertkaufmanbrusselswasherlinen in heliotrope and I love the raisin color. I’m pretty sure I’ve worn this 5 times without washing and it hadn’t lost its shape! Any hinterland hacks planned? I love playing with this pattern! Oh and photographing has proved the hardest part of this making journey. Final shot is mid bicker with my kind husband who hates taking photos but gave me this great hair cut the other night 💗",instagram.com/p/CJwr4-FlHuE,,14,"2, 7",9,
34,"First sew for 2021 I started on New Year’s Day and finished her yesterday, an other #hinterlanddress by @sewliberated this time a maxi  length in the most gorgeous maple  linen fabric from @wearethefabricstore. This is my favourite shade of pink. It’s been a lovely way to welcome the new year, along with some creek swims. 
#handmade #sewnbyme #sewliberated #sewliberatedpatterns #hinterlanddresshack",instagram.com/p/CJmqyOYHHgv,,6,1,214,
35,"One of those rare sunny weeks that make it hard to stay inside 
.
This is my mashup of the #hinterlanddress and #wikstenshift. I cut the front of the #hinterlanddresshack (waist darts, lower v neck) onto the sleeves of the wiksten shift. The back top is the gathered, yolked back of the shift dress. The skirt is the hinterland, and the pockets are from the shift. I slit the sides 10” up for biking. 
.
This is the hinterland in the size 14 with the wiksten in the size 10 (with bicep mod). The skirt is a mid length between short and long. 
.
I made it in a very lightweight yarn dyed linen from @blackbirdfabrics in this chartreuse/green mini stripe. Over top is my #rifttee and #shiftcowl with my #stasiadress top as an under layer. Buttons from @teacozyyarn 
.
Total cost: $352.24
—
Fabric: $50
Thread: $4
Buttons: $6
Patterns: $28
Materials total: $88
—
Mod pattern: 1 hour 
Cutting/ironing: 1 hour
Sewing: 4 hours
Fitting: 1.5 hours
Finishing: 1.5 hours
Labor cost: $264.24 (9hr @ $29.36/hr)*
*MIT living wage calculator 
.
Image description: white woman in a mask outside in front of a tree, chartreuse skirt, brown sweater over top, hands in pockets / close up of house shaped brown buttons
.
#sewing #sewliberated #sewliberatedpatterns #jacquelinecieslak #dreareneeknits #spincycleyarns #linen #blackbirdfabrics #dyedinthewool #wool #knit #sewcialists #seattlesews",instagram.com/p/CIbtM9vlxcx,,19,"7, 8",96,
36,"A new dress 🌿
Oh I am so loving this fuller self drafted skirt I did with this dress!
Can’t wait to show you how I did it. 💛
See the last pic for twirling.

Pattern: I used the bodice, sleeves and ties from the #hinterlanddress by @sewliberated 
Skirt is self drafted.
Material: Organic cotton by @cloud9fabrics in their A House in Bloom series.

#hinterlanddress #sewliberatedpatterns #hinterlanddresshack #sewistsofinstagram #sewist #sewistofinstagram #sewersofinstagram #sewell #seweveryday #sewcialists #sewer #handmadewardrobe #memade #memadewardrobe #memadeeveryday #imadethis #imakemyclothes #imakemyownclothes #amyjadecreations",instagram.com/p/CIEe28MJfCZ,,22,4,334,
37,"Hinterland dress, by @sewliberated

Mon patron fétiche... Ici dans une version top ample, et un mélange lin/coton rayé aux douces couleurs 🧡

Le plus long a été de traduire le patron en français 😊

#hinterlanddress #sewliberated #hinterlanddresshack #lin  #coutureaddict #jecoudsdoncjesuis #jecoudspourmoi #couturepassion #jecoudsmagarderobe",instagram.com/p/CH9qx6VLe9f,,9,2,43,
38,"It’s been a while since I’ve had a sewing win, so this dress feels extra amazing ✨ the #hinterlanddress by @sewliberated using her hacks for an elastic back (yes yes yes) and v neck modification. No bust darts again (no regrets) and sleeves for fall. Happy, happy, happy. 💙🍁",instagram.com/p/CG-MgbmJASv,,12,"3, 7",158,
39,"Working on a new project- a #hinterlanddresshack in gorgeous linen/tencel blend in blush pink from @maaidesign (first pic). I’ve been looking forward to sewing with this fabric since I bought it a year ago! 😅
I had planned to sew this dress as maternity wear, but as you can see by the third photo, I’ve left it a bit late!! 🤣 Our beautiful girl is 14 weeks old today 🥰
And of course, for my second make since having a baby (first if you don’t count face masks) I’ve completely thrown myself in the deep end with a new pattern in a new fabric, plus buttonholes (which I don’t have much practice at)! On top of which I’m following the excellent blog post on the @sewliberated website to hack the #hinterlanddress to a v-neck with slightly wider, longer sleeves and elastic gathered back waist. AND THEN I’m thinking of adding a ruffle to the sleeve as well 😅
So, you know, just a quick project that’s entirely appropriate for life with a 3 month old baby! 😂
Fortunately, my muslin of the size 8 bodice with cap sleeves fit pretty much perfectly out of the box (second pic) so at least I don’t have to make any adjustments for the fit #sewingwin 👍🏻👍🏻👍🏻

Pretty shell buttons from @spotlightstores (hard to choose between the two pictured) and conveniently matching linen bias tape from @wearethefabricstore that I had in my stash already.

#isewmyownclothes
#memade
#melbournesews
#sewistsofmelbourne
#makersgonnamake
#usenine2020
#isewlation
#sewcialdistancing
#sewtheprecious
#sewyourstash
#maternitysewing",instagram.com/p/CGrKAUxF2hr,,14,"3, 7",52,
40,"make time every day
to see miracles. ❤️
.
.
.
.
#GheartL
celebrating 27 years of dating this month.. grateful for perfect weather this week and for compromises and adventures and teamwork.. didn't set out to bike everyday this week but just so happened to do this and it wasn't a record or anything.. we biked a leisurely 51 miles together this week.. it was wonderful to escape a bit and still keep an eye on our amazing kids working hard on their remote learning.. and it was wonderful to make something special out of a little staycation.. so grateful and all the glory to God❤️. 
.
.
rtw pants + #hinterlanddresshack top + #allwellcardigancoat + #handdyed bandana + wildflowers 
.
.
#handmade  #memade  #makersofinstagram #handmadeclothing #slowfashion #sewistsofinstagram #sewing #handmadefashion #memadeeveryday #sewallthethings  #ootd #creativepreneur #calledtobecreative #diyclothes #handmadewardrobe #isewmyownclothes #memadeootd #diyootd #isew #selfcaresewing #sewistsofinstagram #sewover40",instagram.com/p/CGJlXKQlblI,,26,4,40,
41,"Last day of #sewyourselfsustainable ! At the beginning of the month the challenge I set myself was to use up some of the fabric I already own and to actually sew up a pattern I haven't used yet. Well well weeheeeell I only managed to sew ONE thing this month and HOW CONVENIENT it is that it is both of those things 😏

Ive had the hinterland dress pattern for about two years now after seeing it and wanting to live out my floaty woodland fairy dreams but quickly realised that dresses just aren't really ma thayng...🧚‍♀️

So when I only had a tiny weeny bit left of my favourite ever black pique knit (that year 8 PE kit polo shirt vibes fabric) I thought I'd finally give the pattern a go. Too soon for a dress though IMO so instead I just didn't do the skirt and left it as a top instead. Haven't worn it yet because it is coooooold but very glad I managed to squeeze every little inch possible out of the fabric before buying anything else! 

Will be sad not to have the outer accountability to post (almost) everyday anymore... But have had a good time following along with the challenge nonetheless! Thanks @newcrafthous @pfaffuk !!🎉

Gratuitous pic no.1 I'm wearing my @lysimaque_sew #lavandelysimaque top which I loooooove 

Pic no.2 is my #hinterlanddresstop from @sewliberated in my loveleh (and now gone) cotton pique knit from @newcrafthouse 

#sewyourselfsustainable2020 #sewist #sewyourown #handmadewardrobe #sewcialist #sustainablefashion #fuckfastfashion #hinterlanddress #hinterlanddresshack #fabricstash",instagram.com/p/CFxmbIDlhoo,,13,4,24,
42,"Blessed Mabon and happy first day of autumn! We always celebrate the changing of the seasons but this week is completely crazy (as I try and prepare @otterandspell for Yarndale this weekend) so we aren't doing anything special today. Hopefully this weekend we will find time to sit down to a big meal and light some candles, go for a walk, look for acorns and gather fallen leaves to make into some sort of 'art'. I'm also going to make an apple crumble after I've seen a few on here this week and I've been thoroughly INFLUENCED 😂
.
Do you do anything to celebrate the changing of the seasons? I'd love to hear!
Edited to add: Dress is the @sewliberated Hinterland dress hack I wrote up on my blog
Fabric is from @fiberstofabric 
#SewersOfInstagram #MeMadeMay #MeMadeMay2020 #SlowFashion #SewingCommunity #EthicalFashion #Sewing #MeMade #SewSustainable #Fashion #Sustainable #Sewcialists #MillennialSewing #SewYourOwn #PracticalFashion #MeMadeEveryday #WeAreTheMakers #IMakeFashion #EcoFriendlyClothing #WhatIMade #MakersGonnaMake #SlowFashionMovement #WhatIMadeToday #DIYOOTD #ISew #HinterlandDress #HinterlandDressHack",instagram.com/p/CFczbLDgEff,,28,1,367,
43,"Yesterdays feelings of sunshine. Today has welcoming rain to water my garden. 💫

Been thinking how I don’t care if these dresses I LOVE so much make me look as though I’m pregnant sometimes (swipe to see).
These dresses speak me and feel so good to wear all the time, any day, any time of the year.
And I will keep wearing them because #fuckflattering 
These dresses are my uniform and I can just see that I’m going to wear them for the rest of my life! 🙌

Wearing:
Hinterland Dress with altered skirt - pattern by @sewliberated 
Ramona Cardigan - pattern by @elizabethsmithknits 

#sewistsofinstagram #sewersofinstagram #hinterlanddress #hinterlanddresshack #handmadewardrobe #memadewardrobe #memades #memade #memadeeveryday #memadeclothes #imakemyclothes #imademyclothes #knittersofinstagram #knistagram #instaknit #knitter #knitting #knit",instagram.com/p/CFarJ4rJW50,,19,1,169,
44,"Første lørdag i nytt hjem! Huset bærer preg av typisk flytterot, men det blir bra. Jeg finner hverfall klærne mine, garnet, kaffen og vaskemaskinen kom akkurat på plass.
På meg har jeg Nadiya Sweater strikka som jakke, Hinterland Dress crop top hack og Estuary Skirt.",instagram.com/p/CFUalvznq37,,22,4,173,
45,"I finally finished my sleeveless #hinterlanddress by @sewliberated !!!
.
I would have completed it weeks ago had it not turned out to be quite so roomy. (I regret not following the advice of other #sewists regarding this pattern, as well as my own experience with the #estuaryskirt and going down a size.) As I didn’t want to rush into making any alterations I sat with it (i.e. procrastinated) for a long time before deciding that the easiest option was adding a back waist elastic channel (as per the #hinterlanddresshack ). This cinches in the waist quite well, greatly improving the overall shape. I also added about 3 inches extra length to the skirt, so it sits around mid-calf, which is perfect. .
.
My only other issue with this pattern is that only four buttons makes for a tight squeeze getting it on and off. Next time I’ll be doing the full button placket. .
.
I used a lovely textured #linen and gorgeous #corozobuttons from @minervasbower .
.
Bring on summer! .
.
.
.
#sewliberated #sewliberatedpatterns #minervasbower #sewing #crafting #dress #summerdress #handmadeclothing #blossoms #handmade #quinceblossoms #corozo #sleevelessdress #myfirstdress",instagram.com/p/CFLYPnrnc8I,,20,"6, 7",34,
46,"Hinterland Dress Back Tie Hack

I’m pretty excited about how this turned out. I used a size 10 bodice with a slight forward shoulder adjustment. My bust measurement puts me between 12 and 14 in this pattern but when I muslined the shoulders were all wrong. Instead of a button placket on the front, I made rouleau ties and drafted plackets for the back. I modeled them off of the front placket pieces and kept the interfacing.  For the hem I didn’t want to lose any length so I made a hem facing and did a blind hem stitch by hand. I love the weight and structure it gives. I really want to make a sleeved version of this dress but it’s clear I’m going to need a broad back adjustment and maybe FBA, so I’ll tackle those another day. 

Fabric is a linen sheet I splurged on a couple years ago. Turns out I don’t love sleeping on linen as much as I like wearing it. 

#hinterlanddress #hinterlanddresshack #sewliberated #midsizestyle #b38w30h40",instagram.com/p/CFKtyXKFWic,,5,"3, 5, 6, 7",82,
