post number,caption,url,,number of hashtags,likes,types of patterns,taxonomy
11,"Finally some sun and heat in Belgium! Shown here with sticky fingers.

#memademay in my #esmadebyme #clydejumpsuit almost certainly inspired by @mollyjeanbennett 's from a while back.",instagram.com/p/COsK-mwMM18,,4,40,1,
12,"ME MADE MAY 2021 - WEEKLY ROUNDUP

This year for me made may I'm doing the same challenge as last year. I'm trying to wear at least one me made item per day and take a photo to document it. So far it's a lot easier than last year since my me made waredrobe is a lot bigger! If you are doing me made may, let me know how you've been finding it so far!

Patterns for items worn in no particular order:
#ilfordjacket #yantaoveralls #meljoggers #jacksontee #vestno2 #cornellshirt #pomonapants #demeterdress #olyashirt

[Image Description: A white woman stands, she is taking a selfie in a mirror. Each of the photos shows her outfit for the day. Alt text provided. End description.]",instagram.com/p/COrFFzKseJq,,26,63,1,
13,"Day 9 of #memademay !

My first go at the #olyashirt pattern by @paper_theory and my first time working with plaid since high-school 😅

I took a lot of time carefully laying out this cotton flannel to pattern match and didn't notice the two front pieces didn't match up until I went to sew the front placket 🤷‍♀️ I'm very proud of my pattern matching with my pockets though! And I added my little memade tag from @kylieandthemachine under my bottom placket with an extra button 🖤

Also wearing my black cotton jersey #stellantee . All fabric is from @blackbirdfabrics !",instagram.com/p/COqcP_mM_7z,,3,27,1,
14,"Denne skjorta har jeg sydd av en linduk som mormor og bestefar fikk til bryllupet sitt i 1954 🤍 Takk for duken mormor @karolinemariefa! 
#olyashirt fra @paper_theory",instagram.com/p/COqSqgkHMEG,,1,81,1,
15,"#memademay2021 day 8 (??) Wore my trusty #ilfordjacket out for a pizza by the harbour side today, and was just about warm enough :) I'm enjoying the olive green colour twill over the brighter green linen of my new #olyashirt 🌱 have worn this shirt so much since making it! May have to give it another go now I've (possibly) figured out the shoulders. 
.
.
Ilford jacket by @fridaypatterncompany in RK ventana twill
Olya shirt by @paper_theory in #merchantandmills pine linen
.
.
.
.
#memademay #memade #memadewardrobe #homemadeclothes #sewcialists #isewmyownclothes #handmadeclothing #sewistsofinstagram #sewing #springwardrobe",instagram.com/p/COqHK2Ys3G9,,14,112,1,
16,"First week of Me Made May 2021!

1. #noashirt in @spotlightstores linen/cotton blend + #paolaworkwearjacket in thick woven cotton from @wearethefabricstore and dyed with black @ritdye + cass pants in brown linen also from spotlight

2. short sleeved #olyashirt in green linen from @wearethefabricstore + modified #loispants in beige/tan? linen from @spotlightstores 

3. #fibremoodmira in printed cotton/linen blend from @spotlightstores 

4. #blommatank in black remnant cottom from @wearethefabricstore + #eviebiasskirt in rayon twill from @spotlightstores + #paolaworkwearjacket 

5. #monroeturtleneck in viscose from @reversegarbage +  #peppermintbuttonupdress in heavyweight black linen from @wearethefabricstore and buttons from @allbuttons + #wikstenunfoldingjacket in a a blue woven cotton from @wearethefabricstore and a floral thrifted quilt cover

6. #elliottop in printed viscose from @spotlightstores + #mmevetrousers in green linen from @wearethefabricstore 

7. #blommatank + #eviebiasskirt repeat + a #jsbfacemask made from a thrifted shirt

#memademay  #memademay2021  #mmm2021",instagram.com/p/COp9vAuMLA0,,19,27,2,
17,"Today's #olyashirt styling mini-challenge look: ""minimally buttoned / Sunday lounging"" I won't leave the house today, but I would totally wear this to get a coffee or quick grocery store run.
.
Had a delicious mother's day breakfast of perfect sourdough and our own farm eggs.🍳
.
Mother's day is mixed with a lot of grief for me this year. I can't bring myself to attend a zoom memorial today for a friend who recently passed from covid. Not ready yet to face a collective grief process.
.
I know this is annually a day of grief for many who have lost mothers or children, or have struggled with infertility. Hugs to you all.
.
Pattern by @paper_theory , goes up to 45"" bust. Fabric is #bfsandwashedcotton by @gordonfabrics via @blackbirdfabrics . Can also be purchased at @melanatedfabricsco and @stonemountainfabric  under other names.
.
#leggingsarepants #indiepatterns #michigansews #loveyourclothes #loveyourwardrobe #michigansews #annarborsews #mmmayfat #mmmay2021 #memademay #memademay2021",instagram.com/p/COp8V8OM6vS,,13,52,1,
18,"Week 1 of #MeMadeMay is over so I thought I'd post my handful of blurry phone pics here. I'm aiming to participate on weekdays, when I'm currently on placement and helping get the house ready for reopening, so it's a good test of how practical my clothes are! 
1: #LBPullover by @paper_theory and #PomonaPants by @annaallenclothing 
2: same patterns as above
3: #OlyaShirt, again by @paper_theory, with a rtw jumper",instagram.com/p/COprUFysVDK,,4,16,1,
19,"I don't participate in #memademay but i like how i look today so I'll share. 
None of the clothes are perfect.  The linen (from @fiber_feels my love) #wikstentank needs modifications, the #olyashirt interfaceing shrank and is crinkled. The #hallcroppedpants are made with weird fabric. But somehow i feel super nice and comfortable in this.",instagram.com/p/COpRL1_scHs,,4,64,1,
20,"#memademay / #mmmayfat day 7. #hotoffthemachine #olyashirt (goes up to 45"" bust) by @paper_theory in sandwashed cotton from @blackbirdfabrics (milky tea) . Vintage acrylic buttons bought on Etsy.
.
Did I mention this was my first time participating in #memademay?? I'm at the one year anniversary of my garment sewing journey. I actually attempted this shirt many many months ago when I was just beginning. It didn't go well... This time was much better. Way more knowledge behind me! Even so, I don't think I could have gotten by with just the written directions. The photo directions in the sew along are very helpful, especially for the pockets. I used some helpful tips from my Cornell shirt collar application-- stay stitching the bodice and cutting into the seam allowance before pinning. I really really like this collar shape! And it's quite different from the many kalle shirts I've made. More petite and understated.
.
I included a photo of three pieces that come together at the armpit seam. I really like how it all works there.
.
This cotton was fairly stable and easy to work with, but it still stretched out in unexpected ways-- that is, not just along the bias. My button plackets ended up too short because my shirt edge had stretched. Same with my cuffs. You can see in one of the later photos that I added a third mini pleat to make up for a 2+ cm difference.
.
I am smack dab between 16 and 18, so sized down. (Or did I go down to 14? Can't remember! I cut out the pattern so so long ago...) As I got close to finishing I was worried it would lack the oversized feel I wanted. However, I'm pretty pleased in the end with the fit. Actually ridiculously pleased.
.
I am still on the fence about top stitching the pockets. We'll see. I do love top stitching! 
.
I think a little mini challenge for myself for the next few days will be playing around with styling this new shirt.
.
What have I learned so far from #memademay? I make way too many shirts and not enough pants... I'll work on that.
.
#bfcotton #bfsandwashedcotton #blackbirdfabrics #papertheorypatterns #mmmay2021
#mmmay #memademay2021 #indiepatterns #millenialsewing #annarborsews #michigansews #memadeootd #chuffed",instagram.com/p/COnyVALM56U,,19,64,3,
21,"Day 8 #memademay2021 

It’s an #olyashirt and RTW jeans from Zara kind of day. 

This is another #olyashirt from @paper_theory it’s made in a pink stripe cotton. 

#imakemyownclothes #imadethis #imakemyclothes #ilovetosew
#lovetosew #memadeeveryday
#homesewing #handmadewardrobe
#sewscottish #memade #sewsustainable #sewyourownwardrobe
#sewersofinstagram #isew #slowfashion
#ilovetosew #handmadefashion #memade #mmm2021 #memadeeveryday",instagram.com/p/COnARj-MX0O,,23,83,1,
22,"#MeMadeMay2021 Day 8. I am in LOVE with this shirt!🥰 Freshly finished #OlyaShirt from @paper_theory worn with 6 year old altered #BirkinFlares. I removed the flare and some excess width last month and now I can wear them again!😇 I’ve had fun trying this shirt with a variety of trousers in the wardrobe and it looks fab with all of them! I’m definitely making another one! Viscose for the shirt from @rainbowfabrickilburn 
#MoreThan30Wears #maker #sewcialists #MeMadeEveryday #SewistsOfInstagram #WearHomemade #SewingAddict #LoveToSew",instagram.com/p/COm9mGysaGF,,11,197,1,
23,"She’s finished! Does anyone else find sewing buttons on strangely therapeutic? I’m off to deliver a beautiful bunch of flowers to a friend for her birthday today, might pop this on later.
#OlyaShirt #buttons #ProjectComplete #PaperTheory #iSew #sewcialists #maker #diyFashion #ShipstonSews",instagram.com/p/COkpfgsMQ0M,,9,81,1,
24,"Can’t believe a whole week of #memademay has gone by already! It’s been so inspiring seeing everyone’s outfits.

Today, I want to give a shout out to the paper theory #olyashirt. I made three last year and I just love how they fit my body shape.

I was so intimidated by the arm construction (and made a big mess of my first attempt), but the way the shape hangs from my broad shoulders is just perfect.

This one is in a cotton linen blend from @fabricgodmother. Quite a thick fabric, and very slightly off-white, which helps to make it feel a little less formal. I made a straight size 10 with an extra 1.5 inches in each sleeve to account for my long arms.

I’ve not tried the shirt dress version yet, but after seeing @heritageninja style hers as a duster earlier this week, I’m seriously tempted.

#memademay2021",instagram.com/p/COkJsbrMTi5,,3,62,2,
25,"Day seven me made May! I'm wearing my olya shirt made in a light floral cotton poplin from @stitch_fabric1

I must admit I haven't worn this shirt much as I'm not usually one for button up shirts- they remind me of the awkwardness of school uniforms. I think this shirt looks great on everyone else so I just need to get over my own awkwardness and enjoy wearing it I think! 

#MeMadeMay2021 #olyashirt #papertheory #slowsewing #sewing #sewcialists #diyfashion #memade #sewistsofinstagram #lovetosew #sewityourself #practicalsewing #sewingforme #sewsewsew #imakemyownclothes #diywardrobe #handmadewardrobe #sewstyle #utilitarianfashion",instagram.com/p/COkDPxSsmwS,,19,57,1,
26,"2 May 2021:  I’m a little bit behind with my #memademay2021 posting.  After 7 magical nights at sea we are back on land and with internet. On Sunday I was wearing my #olyashirt by @paper_theory with a hacked sleeve | details of the hack are on my blog | made in a lovely soft washed linen from @potter_and_co_australia . My bikini is the Natalie Top & Kit Pant from @edgewaterave swim patterns made in a liberty print lycra from @wearethefabricstore .  Location was Blue Pearl Bay - Whitsundays - Australia. Blog coming on the trails and tribulations of sewing #homemadeswimwear 
🏝
🏝
🏝
#sewinglife #whitsundaysescapes #sewaustralia #homemadewardrobe #diyfashion #ilovetosew",instagram.com/p/COjm0rzs9WC,,9,313,2,
27,"ME MADE! Today I was sporting my @paper_theory #olyashirt 
It’s my new favorite. I’ve been romanticizing one for a while. EVERYTIME @twoyardsunder came in hunting buttons for her latest Olya I was like, damn I need to make one of those! I printed it, it sat, I chose fabric & cut it, it sat and finally, I did it! The construction and instruction details made me giddy. The yoke points were perfect - I was positive magic happened when it was a success, then the second was perfect too! ❤️✂️

On my days off earlier this week, I me made some roasted strawberry/rhubarb rolls and finished some UFOs, thanks for the nudge @pinkmimosabyjacinta and @jasikaistrycurious I needed to clear some mental space!

Floral Liberty is a vintage Vogue I wore to @portlandfrocktails last time but wasn’t finished up to par. 

Animal Liberty is a Kalle that’s been cut out and pinned to the pieces for like a year cause I “lost the instructions” 🤷🏼‍♀️😒Pretty lame excuse when you’ve made it a bunch but I like my reference materials. 

Thanks for reading my ramblings! 🙌🏼❤️✂️

Sale is stilling running thru Saturday 20% OFF",instagram.com/p/COjXhINsG3l,,2,116,1,
28,"Was testing these two fabrics side by side and Pepper the Chorkie decided to nest ❤❤❤
I've only got remnants of the large windowpane so I was thinking an #olyashirt or dress? Then what do we do for the button band and collar?",instagram.com/p/COi89Ffs9Wc,,1,19,1,
29,"I wear this @paper_theory Olya shirt literally all the time. Here I am wearing it in front of THE EGG in the rain. ⁣
⁣
I promise that I re-wear most of my makes often, but I feel mega cringy taking outfit pics outdoors so you’re only gonna see re-wears when I have an additional reason to take a picture (i.e., visiting North America’s greatest state-sponsored Brutalist plaza and midcentury monumental sculpture collection).⁣
⁣
Fabric from @blackbirdfabrics and fresh new bandana from @shopsundaymonday.⁣
⁣⁣
#memademay2021
#memadeeveryday⁣⁣
#sewing⁣⁣
#sewcialists⁣⁣
#nycsews⁣⁣
#sewinginreallife⁣⁣
#sewistsofinstagram⁣⁣
#slowsewing⁣⁣
#isewlation⁣⁣
#sewinginquarantine⁣⁣
#sewcialdistancing⁣⁣
#measurementsmovement⁣⁣
#b42w34h46⁣⁣
#olyashirt⁣
#papertheorypatterns⁣
#blackbirdfabrics⁣
#bfindianhandwovens",instagram.com/p/COiPFpXMoWn,,17,48,1,
30,Miller Olya combo I will wear this every day yes I will.  #olyashirt #olyashirtdress #millertrousers @paper_theory #memademay2021 #ilovelinen #ithaspockets #sydilla #memadewardrobe #papertheorypatterns,instagram.com/p/COiH_WPM5bb,,9,51,1,
31,"#memademay2021 day 6
🪡 shirt is a mashup of mostly #archershirt with some details from #fairfieldshirt and #olyashirt 
🪡#freerangeslacks (legs clearly cuffed at different lengths! #alltherage )
🪡 #stevieknickers 
🛒 RTW cami 
🛒 vejas
💍 many small earrings 
👶 Child born 7 years ago today!

And, finally! A haircut. 

#memademay #memadeeveryday #memadewardrobe #sewscottish #sewover40 #mmmay",instagram.com/p/COhirBvsM9k,,13,67,1,
32,"Feeling a bit fragile today, so I’m taking inspiration from the inimitable @_donnyq and sheltering in monochrome layers.

From the outside in:
- a #maynarddress by @elbe_textiles in heavy linen (a really special piece that deserves its own post later in the month)
- an #olyashirt by @paper_theory in cotton double gauze 
- an #esmadebyme #harpertunic in mid weight linen
- a pair of #aurthurpants by @sewliberated and @specksandkeepings in brushed cotton twill

#memademay #memademay2021",instagram.com/p/COhhsiKM4ip,,7,38,1,
33,"Day 6 of #memademay2021 and I had an interview today for a promotion at work. It was a video call so I was all business up top and chill af down below. I’m wearing my @paper_theory #olyashirt made with linen from @wearethefabricstore. The interview went well so cross your fingers for me! Oh and the sun came out today so as you can see I’m not as cranky as yesterday. #sewcialdistancing #makersgonnamake #imakemyownclothes #imademyclothes #makeallthethings #imadethis #sewing #sewist #findingtime #slowfashion #diyclothes #ilovesewing #dresshandmade #memadewardrobe #sewersgonnasew
#sewingproject #ilovetosew
#imakemyclothes #sewistsofinstagram
#sewersofinstagram
#memade #memadeeveryday",instagram.com/p/COhW5h4sN_w,,25,169,1,
34,"#MeMadeMay Travel Edition! 
• 
Visited @wearethefabricstore IRL today in Melbourne. What. A. Treat! Wore the same clothes I’ve been wearing Every. God. Damn. Day. 
• 
I’m not boring you (or me) with photos everyday cos really I’m just wearing repeats underneath the same RTW coat and scarf but here is an illustrative selection in the lift of our accomodation lol: my #FremantlePants #OlyaShirt, #ArthurPants, #NaniIroSewingStudio Workshirt, #ZadieJumpsuit and a white jumper I knitted a few years ago.
• 
Being forced to wear a tiny suitcase worth of clothes on repeat has made me really confident that I can totally make all my own clothes and wear them everyday and they will both look great and be practical and wearable. I also really feel like myself in my own clothes. They look like my clothes in a way that no other clothes I’ve purchased before ever have. So comfortable. It’s also given me so many ideas. I have so many plans! 
• 
Also, both Robbie and Hetty are wearing clothes I made for them in these pictures! It’s a family me made extravaganza!
•
#MMM2021 #MeMadeMay2021 #MeMadeMayMelbourne #MeMadeMayTravelEdition",instagram.com/p/COhC6ftMHJ2,,10,77,1,
35,"#memademay2021 day 5, the #olyashirt from @papertheory patterns.  Probably my favourite shirt pattern to date.  #handmadewardrobe #sewyourown #thanksimadeit #isewmyownclothes #yycsews",instagram.com/p/COgKKJDMMc-,,7,57,1,
36,#mmm21 day 5: #olyashirt in a wonderful Japanese cotton that I love.,instagram.com/p/COf5uk2sU_f,,2,34,1,
37,"#MeMadeMay2021 day 5
Planting my second lot of tomato plants out in the greenhouse! Wearing my favourite Olya shirt. We're only 5 days in to Me Made May and I've already realised I want to make more Olya shirts! I'm making a list of any wardrobe gaps and hopefully I'll be able to fill them slowly with the fabrics in my stash.
#memademay #mmm21 #sewcialists #sewersofinstagram #indiesewing #instasewing #olyashirt #papertheorypatterns #ymsewsmmmay #ymsewsmmmay21",instagram.com/p/COfP_UFs7lK,,11,287,1,
38,"Me Made May Day 5//

Having fun with this photo this morning, inspired by the amazing photography of @siri_kate 

Today's outfit is my beloved #LanderPants by @truebias paired with another #MonroeTurtleneck (@tessutifabrics) with an #OlyaShirt by @paper_theory 

#MeMadeMay2021 #MeMadeMayDay5 #MeMadeMay #MeMade #HandmadeWardrobe #HandmadeFashion #SlowFashion",instagram.com/p/COfHaJ9MhcU,,10,28,1,
39,"Just finished my #olyashirt muslin. First-ever oxford shirt for me, so plackets were a new adventure, as was figuring out this pattern's unusual sleeve construction. Seams at the arm pits got a little funky, but only I will know, so let's call it wearable. On to the ""real"" version using broadcloth instead of table cloth! #memademay2021 #sewistsofinstagram #imakemyownclothes",instagram.com/p/COefFRfswbI,,4,41,1,
40,"On this drizzly Day 4 of Me Made May we have quite likely my favorite #memade garment of last year — this colorblocked #olyashirt — worn along with a self-drafted ribbed tank top and a pair of #persephonepants that I finished a couple of weeks ago.

All the details for these garments are in previous posts, but I should say that this Olya was very much inspired by @the.social.fabric 💛 Nisan has made many a fabulous Olya shirt!

The fabric for this shirt is all linen from various sources.  Scraps from this project became the starting point for a curved quilt project that I began earlier this year, and the same color palette translated to a fabric painting and woven wall-hanging ✨✨✨ curious and gratifying to me how all kinds of creative things connect in hindsight.

_._._._._._._._._._
#memademay2021 #papertheory #annaallenclothing #handmadeclothes #colorblocking #slowfashion #memademay #mmm2021",instagram.com/p/COdsbI9sAYz,,11,766,1,
41,"It’s #memademay day 3 and I am wearing an #olyashirt that I finished last month. The fabric is a washed cotton from @stofdepotet and I love it because it does not need to be ironed
// det er #memademay dag 3 og jeg har #olyashirt på. Den er syet i en vasket bomuld fra @stofdepotet og det er helt perfekt stof til en skjorte, for det skal ikke stryges!",instagram.com/p/COdX-AjHjSV,,11,113,1,
42,"#MeMadeMay2021 day 4.
.
Keeping it simple & warm weather friendly!
.
#ESMadeByMe Georgia Midi OS minus. I’m 5’1” and my stride is a bit restricted in this dress. I would add a slit on my next one.
@paper_theory #OlyaShirt worn as a duster
.
Image ID:

Image ID:
An Indonesian woman, standing. She’s wearing an earthy orange midi shift dress underneath a long sleeve light beige linen duster.
.
hashtags:
#mmmay21
#memademay
#memadeeveryday #sewing #handmadewardrobe #isewlated #memademay #imakemyownclothes #slowfashion #slowstyle #lovetosew #selfsewn #handmadecloset #indiepatterns",instagram.com/p/COdP0-sMqx5,,17,503,4,
43,"Day 4 of #MMM2021 - Tuesdays are always a busy work day for me, lots of meetings.  Going to brighten up this rainy day with this floral #olyashirt and hacked #emersonpants out of comfy linen.  #memademay2021 #memadeeveryday #lovetosew #sewingforjoy #Canadasews #blackbirdfabrics #papertheorypatterns #truebias",instagram.com/p/COdFcU1sOt-,,11,15,1,
44,"#memademay2021 DAY 4– A Walk in The Park—

Wearing #olyashirt in pink linen/rayon blend fabric from @stylemakerfabrics  with wooden buttons—

Pants are #ddacajou made in a heavy weight brushed cotton twill fabric from @harts_fabric 

I wear this set often, it’s soft , comfortable and put together - happy to finally ditch the socks ! 

#mmmay2021 #memademay2021 #memadewardrobe #memadewardrobe #sewcialists #sewistsofinstagram #mmm

ID: Joanne stands in front of a white backdrop legs slightly crossed arms down , wearing a pink button up shirt and cream pants .  a canvas tote with black writing on her  shoulder",instagram.com/p/COdC9lFsPAa,,10,588,1,
45,"#memademay2021 day 4 - it’s a WFH day today in another #zadiejumpsuit in a gingham linen from @merchantandmills with my #olyashirt over the top to keep cozy. 

#mmm2021 #papertheorypatterns #sewistsofinstagram #handmadewardrobe #millenialsewing #sewist",instagram.com/p/COc_olNssfN,,9,62,1,
46,My first me made outfit for May. New #demeterdress by @annaallenclothing using this lovely green tencel fabric from @merchantandmills. Wearing my new #olyashirt as well. Not my usual colour combo but I like it! #memademay2021,instagram.com/p/COc6THGMTUk,,3,44,1,
47,"okay, #memademay, this is fun ✨ day 4 • i made an #olyashirt turned dress a few months ago but have only worn it once • decided it to throw it on for a day of working from home & went *wild* for daycare drop-off by pairing it with a vintage chore coat • the result is a tad more grunge than what i typically wear but got a thrill out of trying something new •
.
#youcanhackit #olyadress #olyashirtdress #papertheorypatterns #mmm #memademay2021 #slowfashion #memade #memadewardrobe #sewistsofinstagram #thanksimadeit #handmadewardrobe",instagram.com/p/COc5u1Wnpyy,,14,140,5,
48,"Day 4 #memademay2021 

Today I’m wearing the first #olyashirt from @paper_theory that I made. 

When the fabric arrived the colour wasn’t as expected and I felt it wasn’t a great colour for my peely wally Scottish complexion so it became a wearable toile.  I love the style of this shirt so I’ve made a few since this one. 

I need to give thought to keeping or recycling it as I’ve only worn it a few times. 🤔

#imakemyownclothes #imadethis #imakemyclothes #ilovetosew
#lovetosew #memadeeveryday
#homesewing #handmadewardrobe
#sewscottish #memade #sewsustainable #sewyourownwardrobe
#sewersofinstagram #isew #slowfashion
#ilovetosew #handmadefashion #memade #mmm2021 #memadeeveryday",instagram.com/p/COczVCKMnn5,,22,112,1,
49,"This might be as close to #memademay2021 as I get! A quick selfie snapped in my sewing room tonight, wearing an #olyashirt in white linen from @wearethefabricstore and @buttons_by_eto. 

I’m pretty proud of this make as I took my time and did little bits each day until voila, we had a shirt. The construction is so interesting it was an exercise in mindfulness! 

I don’t reach for this shirt much as turns out button up shirts don’t really suit me! Trying to make it work though 🤷🏻‍♀️ 

Sewing instead of tv watching tonight to get this pink #soifarrahjumpsuit done 💪 Thank goodness it’s not a Handmaid’s Tale release day 😅 
#sewistsofinstagram #sewingproject #sewingismytherapy #sewingisfun #nightsewing #sewingforfall #sewing2021 #sustainablewardrobe #capsulewardrobeplanning",instagram.com/p/COcj8QuMrs1,,12,104,1,
50,"Back in the office (at the kitchen table) for #memademay day 4, so I’ve pulled out this trusty combination: an #olyashirt and a pair of #arthurpants.

The shirt is a squishy double gauze, and the pants are a brushed cotton twill, finished with a shiny metal button I found on the floor. 

These are honestly the best shirt and trouser patterns I’ve ever tried for my body shape. Plenty of room for shoulders and hips.

#memademay2021",instagram.com/p/COcZ_Y7M-C0,,4,96,1,
51,Day 4 of #memademay2021 and I’m wearing #olyashirt from @paper_theory 😍 #memadeeveryday #ilovetosew,instagram.com/p/COcOXZ6sRGv,,4,26,1,
52,"#olyashirt by @paper_theory 
@ladymcelroyfabrics Artisan splash cotton lawn from @planit.makeit

This one had me scratching my head at times but I think it was totally worth it! 

#memade #handmadewardrobe #handmade #homesewn #sewyourown #slowfashion #sewsewsew #sewingkeepsmesane #metime #memade #maternitysewing #nursingfriendly #breastfeedingfriendly",instagram.com/p/COa4bWLMGH2,,14,11,1,
53,"#memademay2021 day 2️⃣&3️⃣

Today I wore my favourite shirt and favourite skirt to work!😁This is the #olyashirt in #marimekkofabric and #melilotsiv in black linen!🌸🌺🌼🍀

Wearing this shirt makes me happy!!!☺️

Yesterday (sunday) I wore my me-made #sysakerylva pants and my mom-made knitted sweater! Comfy🥰 

#memademay #marimekko #sewingshirts #shirtmaking",instagram.com/p/COakDX-siwM,,9,120,1,
